tweet_id,cleaned_text,label
CL1KWCMY,big homie meanboy meanboy stegmanlife stegman st,positif
E3303EME,I m think devote career prove autism be nt cause vaccine due idiotic post I have see world autism day,négatif
M4IVFSMS,whatcausesautism vaccine not vaccinate child,négatif
1DR6ROZ4,mean immunize kid something wo nt secretly kill year line I m but do nt trust,négatif
J77ENIIE,thank user catch perform la nuit nyc st ave show start jennifair,positif
OVNPOAUX,user nearly year old study mental health study vaccine relatively infancy refute,négatif
JDA2QDV5,study kid find no link vaccine autism,négatif
S6UKR4OJ,psa vaccinate fucking kid,négatif
V6IJATBE,cough extra shuttle everyone think measle vaccinateyourkid,négatif
VB25IDQK,aid vaccine create oregon health science university may clear virus body,négatif
PEM9KSVV,user point text butwbon jovi cover playin alibi hope u come bbquser b,positif
TTLQWD2R,prediction vaccine exemption arizona end soon much money lose big pharma,positif
0STNE2MG,get vaccine china nervous move cheryl southern nevada health district,négatif
9SCBVTZP,mug noche user mixmasterrod dcdj mad hatter,positif
H31NBXJW,get influenza vaccine purdue university student health push user,négatif
HN8KBV0K,sb enroll meningococcal diseasepupil immunize against recommend age,positif
NLNBQ85U,increase number parent skip vaccination childrencolumbia missourian columbia,positif
XLA9CL37,user thank stand ca parent child support user vaccineswork,négatif
KVQBJBAU,dude idc disney land measle mean short line ride I m drive rn,positif
CDFY1QGD,beeftalk start calf vaccination via user good article herd health,négatif
GSCVSPAA,do nt care user say probably kid vaccinate,négatif
QW2SH0OJ,acr small study show pt lupus shingle vaccine safe need confirm large study,négatif
Y15Y0XOB,cdc measle epidemic pose travel risk usatlyixdtv yes true but zombie epidemic closing u,positif
XYUPPEQ4,every time see vaccinate not debate wonder one side argument even child,négatif
89AB846O,user cdc lie hide data black boy uncrease risk develop autism cdcwhistleblower help,négatif
XSXFN1C8,user vaccine cause autism,négatif
ZKURTNG4,user rarely see argument over vaccination actually big deal,positif
UR48VF6W,I m not obsess w ebola follow outbreak world deadly disease no vaccine no cure death rate,négatif
V24T47DJ,user joshthenewt suck game haha well people say do nt but eh,positif
QZX6OHD9,do nt shake hand pocahonta that s probably measle pocahontaslivetweet,positif
5G4PTVA0,user yes I m part public health like I m part nature feed abandon baby bird vaccinate privileged kid,négatif
CLSMOD0A,new study show vaccine not associate autism news sky blue,négatif
NSJP73DN,not repetitive but could not le shock no increase asd even genetically high risk vaccinate,négatif
IQSW8EV9,glad get vaccinate user health alert case meningitis report monmouth university,négatif
IT3VWV5T,look like get measle,positif
6PMH7C56,user user defense not against vaccine harmful but american life unhealthy,négatif
NVX35DOK,like hello rank reset probably bad placement went not go lol,positif
CSDHI2AI,amid measle outbreak vaccine teacher be nt require much attention ongoing measle,positif
NBU6HNFM,user user user user user measle threat,positif
6RF49BXV,improve mood energy immunity cardio health kit profit user thru sandy donate,positif
UHISBYFW,mt user new vaccination bill would end exemption personal religious via user,positif
WGLU7FJR,autism immunization vaccinate,positif
MV37WE6V,bart rider warn measle infection contagious passenger oakland cbs sf bay area rapid transit,positif
R0KEPOT6,user u measle case hit year high far year case measle report unit,positif
LIKV0BSZ,pull myxx nightlife stint perform live hosted user supportyourown,positif
MH3KK5TA,cdc eye bird flu vaccine human though risk low federal official say wednesday they be take step,positif
C5ULRGNS,involve fight against measle vaccine preventable disease tenure track open user joinus,négatif
G1CJ54KD,user I m not vaccinate kid lol,négatif
VS1DRSYT,allege victim review immunity paperwork resume testimony fear blackmail prosecution,positif
6UJBRRLD,thanksuser crystal clear lack evidence link autism notice measlesoutbreak autism,négatif
25E649I8,user give dvd vaccinate child bad,positif
TE5ZSELL,hey nowuser mixmasterrod follow madhatterdc mixmasterrod upstairs lounge,positif
9NVMT7GL,seriously do nt want child antivaccination movement end terrify,négatif
YTAF4OIJ,user user user epidemic enterovirus mump measle drug resistant tb next treason illegalimmigration,positif
25MG3GQ6,say be nt go shit lol look like prove wrong rrr srtmg baby,positif
6CW5ERN4,flu shot school boost vaccination rate offer flu shot elementary school could reduce number,positif
UW0BXIRO,user marin county school board side young leukemia patient vaccination gatebreaker,positif
84ZUVYTR,still run nigga til death dibiasimb user manymenrecord,positif
Y3OMTB1Q,user yeah ill stick regular vaccine oh wait give autism,négatif
BAONYLBR,user antivaccine people want control people fear weaken herd immunityso anyone know mind control,négatif
SNIUDDKD,important vaccinate vaccineswork user measle update user say work w user,négatif
O44VVHXC,do nt think ever understand people reason not getting vaccinate not vaccinate kid explain,négatif
ZCOLETM5,cia no vaccination campaign spy op via user harm protect medic status ruse linger,négatif
5VPTC5UL,measle outbreak prompt vaccination debate political debate rage measle outbreak spread,positif
1T5BM6UT,people need child vaccinate bad disease come back,négatif
E88B1XQJ,vaccine brain damage cover implode user user discuss cdcwhistleblower user,négatif
G322PDMD,vaccine children clinic,positif
39LZM4FP,know infect measle airborne transmission wtf,positif
Q9C5TABK,access fitchburg school limit amid measle scare read neighbor fitchburg,positif
ALVLYD70,user user deadly kid allergy no joke deadly child measle vaccinate every,négatif
6Y6VTXM8,measle,positif
PNPIT1K0,user topic make scared bring kid modern society time start look private school mandate vaccine,négatif
JSYUBMYQ,user gop stop blame immigrant first ebola measles diseasesbrought ancestor ainf,négatif
HS873E7E,already cure measle,positif
500UVF6L,user user ca nt attend school unless vaccinate,positif
XN6LTIAJ,do nt vaccinate child shitty parent end story,négatif
BN71WM25,citizen kingdom god assignment diplomatic immunity fear man,positif
ZG363LFB,top colorado doctor say adult worry measle vaccination measle outbreak,négatif
QX9KY4P4,user nah idiot someone do nt allow kid vaccinate,négatif
7KEN50CE,kid need vaccination late thcentury map show measle mortality vaccine,négatif
VW95HEG7,measle fear spread nj amid suspect case,positif
URGIK16V,baby vaccination day get measle one early fuckwit chicago do nt vaccinate ensure problem,négatif
PM6NIT5K,love measle poster make spirit today,positif
2LVXDTH9,baseball coach santa monica high contract measle,positif
ZJ2BI2NV,I m sick hear people not vaccinate child sick hearing people freedom insane dangerous thing,négatif
V27JWHIW,one risky childrena vaccination go school car,positif
21HVF69Z,odd kid measle we lab room user,positif
9GN9U7F0,user parent refuse kid immunize charge reckless endangerment kid get another sick,négatif
QH03ZNAL,rt user vaccination measle medicaid expansion user,positif
43MWGI00,center disease control year flu vaccine do nt work health flu cure failure sick cdc really,négatif
TP0MIEXK,user ty fight hard not vaccinate kid yr ppls judgement do nt hurt smart,négatif
7GMFOQGY,vaccinate people user tarrant county measle case five denton co trace megachurch,négatif
PK5MVH6B,hb new provide health insurance coverage immunization administer pharmacy pharmacist,positif
KZ2RS1J2,new revise codifie schedule childhood lead screen along immunization wellness,positif
XVNF2DFN,friday immunity challenge walk backwards safe time sure watch back,positif
0DSXLZTP,healthnut parent did nt vaccinate childhood like important,négatif
KX034WEQ,user people complain live long release tension increase immunity improve overall health well good news,positif
7VSVVU00,austerity not vaccine crisis parasite pandemic potential drain life kill slowly occupywallstreet,positif
SLTZR5CB,user compensation autism brain damage illness vaccine court via user,positif
HOGQ697J,seek bear w see state ppls heart storytelle autism vaccineinjury,positif
85B8L54L,user conservative neurosurgeon ben carson say vaccine public health issue thing agree,négatif
58G8VI7V,measle case confirm plano isd school,positif
HMLAGVNC,user reason people think vaccine cause autism,négatif
D8IZHAF6,newsingle smokendrink manymenrecord studio,positif
PC9PCTXT,bdnwz measles kiddie party thing gdnwz misinformed arrogant parent year award,négatif
1TI13L1W,user ok what s good u say politic border wide open vaccine kill kid devaluation,négatif
5AGCUKS4,user news measle case four month england health jenny mccarthy visit lately,positif
HZ1KH1DK,three baby cure hiv give vaccine birth via user,positif
DZWTVPSH,want shot autism juicei mean measles vaccine thingsmydoctorsay user,négatif
PNX57E59,user let use ebola step say vaccineswork flu not dangerous kill thousand also polio,négatif
7K20GEF1,user user user user user over million child no autismvaccine link,négatif
98KOOCMC,user go ryno middle school vaccination big shot tot ouachita parish health unit,négatif
KHA6LZ6C,do nt bring measle ampamp ebola shit baltimore,positif
04C8NTIN,user vaccine truth,positif
PELFFNN6,user hell yeah think think baby immunity something,positif
