tweet_id,safe_text,label,cleaned_text
CL1KWCMY,Me & amp ; The Big Homie meanboy3000 # MEANBOY # MB # MBS # MMR # STEGMANLIFE @ Stegman St. < url >,positif,& amp ; big homie meanboy3000 # meanboy # mb # mbs # mmr # stegmanlife @ stegman st. < url >
E3303EME,I 'm 100 % thinking of devoting my career to proving autism is n't caused by vaccine due to the IDIOTIC post I 've seen about World Autism Day,négatif,'m 100 % thinking devoting career proving autism n't caused vaccines due idiotic posts 've seen world autism day
M4IVFSMS,"# whatcausesautism VACCINES , DO NOT VACCINATE YOUR CHILD",négatif,"# whatcausesautism vaccines , vaccinate child"
1DR6ROZ4,"I mean if they immunize my kid with something that wo n't secretly kill him year down the line then I 'm all for it , but I do n't trust that",négatif,"mean immunize kid something wo n't secretly kill years line 'm , n't trust"
J77ENIIE,Thanks to < user > Catch me performing at La Nuit NYC 1134 1st ave. Show start at 6 ! # jennifair # mmr… < url >,positif,thanks < user > catch performing la nuit nyc 1134 1st ave. show starts 6 ! # jennifair # mmr… < url >
OVNPOAUX,< user > a nearly 67 year old study when mental health study and vaccine were relatively in their infancy that ha been refuted ?,négatif,< user > nearly 67 year old study mental health studies vaccines relatively infancies refuted ?
JDA2QDV5,"Study of more than 95,000 kid find no link between MMR vaccine and autism < url >",négatif,"study 95,000 kids finds link mmr vaccine autism < url >"
S6UKR4OJ,psa : VACCINATE YOUR FUCKING KIDS,négatif,psa : vaccinate fucking kids
V6IJATBE,Coughing extra on the shuttle and everyone think I have the measles . 😂 # VaccinateYourKids,négatif,coughing extra shuttle everyone thinks measles . 😂 # vaccinateyourkids
VB25IDQK,AIDS vaccine created at Oregon Health & amp ; Science University may clear virus from body - < url > < url >,négatif,aids vaccine created oregon health & amp ; science university may clear virus body - < url > < url >
PEM9KSVV,"< user > @ this point I have 2 text , butw/Bon Jovi cover playin @ Alibi 's hope U can come out 2 MMR BBQ < user > will b there !",positif,"< user > @ point 2 text , butw/bon jovi cover playin @ alibi 's hope u come 2 mmr bbq < user > b !"
TTLQWD2R,"My prediction , vaccine exemption in Arizona will end soon . To much money is being lost by big pharma .",positif,"prediction , vaccine exemption arizona end soon . much money lost big pharma ."
0STNE2MG,Getting my vaccine ! # china # nervous # moving .. With Cheryl ( @ Southern Nevada Health District ) < url >,négatif,getting vaccines ! # china # nervous # moving .. cheryl ( @ southern nevada health district ) < url >
